,time,fights_f1,win_proportion_f2,height_diff,reach_diff,outcome
2835,300,11.0,0.8333333333333334,2.0,-2.0,1.0
2836,300,3.0,0.8333333333333334,0.0,-2.0,1.0
2837,300,4.0,0.8333333333333334,2.0,2.0,1.0
2838,155,2.0,0.8333333333333334,0.0,-3.0,1.0
2839,94,6.0,0.8333333333333334,1.0,1.0,0.0
2840,271,1.0,0.8333333333333334,-1.0,-4.0,1.0
2841,300,8.0,0.75,1.0,0.0,1.0
2842,265,6.0,0.75,2.0,4.0,1.0
2843,70,2.0,0.75,-3.0,1.0,0.0
2844,251,6.0,0.75,3.0,4.0,1.0
2845,149,5.0,1.0,-1.0,0.0,1.0
2846,300,4.0,1.0,-1.0,-4.0,1.0
2847,141,4.0,0.6666666666666666,-1.0,1.0,1.0
2848,145,5.0,0.6666666666666666,1.0,0.0,1.0
2849,300,7.0,0.6666666666666666,0.0,0.0,0.0
2850,195,6.0,1.0,-2.0,-1.0,1.0
2851,300,7.0,1.0,4.0,2.0,1.0
2852,224,12.0,0.5,-4.0,-4.0,0.0
2853,278,11.0,0.5,-5.0,0.0,1.0
2854,300,9.0,0.5,-5.0,-5.0,1.0
2855,300,19.0,0.5,-3.0,-5.0,0.0
2856,32,6.0,0.5,0.0,-3.0,1.0
2857,300,2.0,0.5,-2.0,-5.0,0.0
2858,300,7.0,0.5,1.0,-1.0,1.0
2859,300,4.0,0.5,0.0,0.0,1.0
2860,220,10.0,0.5,0.0,-2.0,0.0
2861,300,8.0,0.5,2.0,1.0,1.0
2862,114,14.0,0.5,-5.0,-6.0,0.0
2864,300,7.0,0.6666666666666666,-1.0,-2.0,1.0
2865,158,20.0,0.6666666666666666,1.0,-2.0,1.0
2866,217,1.0,0.6666666666666666,1.0,2.0,0.0
2867,300,11.0,0.5,1.0,-2.0,1.0
2868,300,5.0,0.5,3.0,1.0,0.0
2869,300,10.0,0.6,2.0,2.0,0.0
2870,300,7.0,0.6,-1.0,0.0,1.0
2871,300,1.0,0.6,-1.0,-2.0,0.0
2872,300,6.0,0.6,1.0,-1.0,1.0
2873,300,10.0,0.6,1.0,-1.0,1.0
2874,300,3.0,1.0,-3.0,0.0,1.0
2875,300,7.0,0.5,2.0,-4.0,1.0
2876,300,8.0,0.5,0.0,-2.0,1.0
2877,300,6.0,0.5,0.0,-3.0,0.0
2878,300,3.0,0.5,5.0,-3.0,0.0
2879,300,4.0,1.0,0.0,4.0,1.0
2880,300,6.0,1.0,-2.0,4.0,1.0
2881,300,2.0,1.0,0.0,0.0,1.0
2882,101,11.0,1.0,1.0,1.0,1.0
2883,22,4.0,0.75,1.0,0.0,1.0
2884,300,6.0,0.75,1.0,-3.0,1.0
2886,74,10.0,0.75,0.0,-2.0,1.0
2887,300,21.0,0.5,3.0,7.0,1.0
2888,300,3.0,0.5,-2.0,3.0,0.0
2889,300,20.0,0.5,1.0,-1.0,1.0
2890,79,14.0,0.5,-1.0,0.0,0.0
2891,60,5.0,0.5,1.0,1.0,0.0
2892,149,7.0,0.5,0.0,2.0,1.0
2893,256,2.0,0.5,-2.0,-2.0,0.0
2894,218,11.0,0.5,-2.0,-1.0,1.0
2895,300,18.0,1.0,-3.0,-1.0,1.0
