,outcome,round_x,time,L_f1,W_f1,fights_f1,L_f2,W_f2,fights_f2,height_x,reach_x,height_y,reach_y,kd,subatt,rev,ctrl,sigster_throw,sigster_land,total_str_throw,total_str_land,td_throw,td_land,head_throw,head_land,body_throw,body_land,leg_throw,leg_land,distance_throw,distance_land,clinch_throw,clinch_land,ground_throw,ground_land,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,method_dec_spl,method_dec_una,method_dq,method_ko_tko,method_sub,method_tko_doc,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
799,0.0,3,300,6.0,6.0,12.0,3.0,3.0,6.0,68.0,71.0,71.0,73.0,0.0852994555353902,0.27586206896551724,-0.08892921960072595,-16.71143375680581,5.771324863883848,9.994555353901994,6.049001814882033,10.194192377495462,-0.08892921960072595,-0.019963702359346636,1.65698729582577,4.7840290381125214,2.294010889292196,2.9110707803992737,1.82032667876588,2.2994555353901998,5.130671506352089,9.079854809437386,-0.48457350272232314,-0.5281306715063521,1.1252268602540836,1.442831215970962,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
800,1.0,3,300,0.0,2.0,2.0,3.0,3.0,6.0,70.0,71.0,71.0,73.0,-0.05263157894736842,0.0,-0.15789473684210525,44.90350877192983,7.7368421052631575,7.850877192982452,6.675438596491226,6.429824561403507,1.0087719298245614,2.8421052631578947,1.1052631578947363,-2.526315789473685,3.7192982456140355,4.342105263157895,2.9122807017543857,6.035087719298245,7.412280701754385,8.131578947368418,-0.10526315789473695,-0.13157894736842102,0.4298245614035089,-0.14912280701754388,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
801,0.0,3,300,1.0,1.0,2.0,3.0,3.0,6.0,71.0,70.0,71.0,73.0,0.0,0.0,-0.10526315789473684,13.89473684210526,-2.8947368421052637,-10.473684210526319,1.4210526315789451,-6.0,0.21052631578947367,0.5263157894736843,-1.3684210526315788,-9.263157894736842,-1.263157894736842,-1.1578947368421053,-0.26315789473684204,-0.052631578947368585,-3.6842105263157894,-11.684210526315791,0.5789473684210524,1.105263157894737,0.21052631578947367,0.10526315789473673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
802,1.0,3,300,4.0,1.0,5.0,2.0,1.0,3.0,68.0,72.0,72.0,72.0,0.0625,0.0,0.0,-17.164772727272727,4.585227272727273,13.340909090909093,4.125,12.829545454545453,0.005681818181818177,0.0,-1.7784090909090917,5.426136363636367,2.8238636363636362,3.653409090909091,3.5397727272727275,4.261363636363637,6.323863636363637,15.63068181818182,-0.10227272727272729,-0.28977272727272707,-1.6363636363636365,-2.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
803,1.0,3,300,1.0,5.0,6.0,2.0,1.0,3.0,68.0,73.0,72.0,72.0,0.03571428571428571,0.0,0.14285714285714285,-10.512987012987011,7.487012987012989,7.626623376623378,11.0,12.240259740259738,-0.18181818181818182,-0.9285714285714286,-3.0194805194805205,-6.029220779220779,4.3149350649350655,6.055194805194804,6.191558441558442,7.600649350649351,6.600649350649352,7.032467532467535,2.3441558441558437,2.415584415584416,-1.4577922077922079,-1.8214285714285714,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
804,0.0,3,300,1.0,0.0,1.0,2.0,1.0,3.0,71.0,71.0,72.0,72.0,0.125,0.125,0.0,-9.977272727272727,-10.102272727272727,-23.284090909090907,-8.875,-22.295454545454547,0.5681818181818181,0.625,-10.215909090909092,-22.761363636363633,-0.8636363636363638,-1.7840909090909092,0.9772727272727273,1.2613636363636362,-8.488636363636363,-20.68181818181818,-0.2272727272727273,-0.8522727272727271,-1.3863636363636365,-1.75,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
805,0.0,1,224,5.0,2.0,7.0,3.0,1.0,4.0,65.0,64.0,66.0,68.0,0.0,-0.06688963210702342,-0.06688963210702342,33.87290969899665,8.290969899665551,14.11036789297659,0.2508361204013383,3.876254180602004,-0.1705685618729097,-0.39799331103678925,5.4113712374581935,10.217391304347824,1.2775919732441474,2.120401337792642,1.6020066889632107,1.7725752508361203,7.280936454849498,12.444816053511705,0.49163879598662197,0.6722408026755855,0.5183946488294318,0.9933110367892977,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
807,1.0,1,77,1.0,4.0,5.0,3.0,1.0,4.0,66.0,66.0,66.0,68.0,0.0,0.30448717948717946,-0.15384615384615385,-30.067307692307693,8.26923076923077,10.403846153846153,1.5352564102564088,0.2820512820512775,-0.4839743589743589,-1.073717948717949,2.1794871794871797,2.166666666666668,4.080128205128205,4.951923076923077,2.0096153846153846,3.2852564102564097,6.721153846153846,8.256410256410255,2.814102564102564,3.1794871794871793,-1.2660256410256407,-1.0320512820512822,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
808,1.0,3,300,0.0,4.0,4.0,3.0,1.0,4.0,65.0,65.0,66.0,68.0,0.0,-0.020512820512820523,-0.08717948717948719,61.37435897435897,11.035897435897436,18.287179487179486,9.810256410256411,15.815384615384616,-0.02564102564102566,-0.08205128205128198,6.6461538461538465,12.666666666666668,2.5384615384615383,3.4102564102564097,1.8512820512820514,2.2102564102564104,8.112820512820512,13.923076923076923,0.430769230769231,0.31282051282051304,2.4923076923076923,4.051282051282051,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
809,1.0,3,300,5.0,2.0,7.0,3.0,1.0,4.0,65.0,64.0,68.0,70.0,0.0,-0.0082815734989648,-0.05590062111801242,64.04140786749483,-6.049689440993792,-10.948240165631468,-10.587991718426498,-15.881987577639755,0.18840579710144928,0.21739130434782616,3.803312629399586,4.884057971014492,-5.356107660455486,-9.432712215320912,-4.496894409937888,-6.399585921325052,-7.993788819875775,-13.192546583850934,0.3561076604554865,0.20703933747412018,1.587991718426501,2.037267080745342,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
