,time,fights_f1,win_proportion_f2,height_diff,reach_diff,kd,ctrl,sigster_throw,sigster_land,total_str_throw,td_land,leg_throw,weightclass_hw,weightclass_lhw,weightclass_mw,weightclass_wbw,method_sub,method_tko_doc,round_x_5,stance_x_Orthodox,stance_y_Orthodox,outcome
3096,219,2.0,0.0,-4.0,-5.0,0.04999999999999999,8.65,-12.5,-24.0,-13.05,0.9,-2.6500000000000004,0,1,0,0,1,0,0,0,0,0.0
3097,164,8.0,0.6666666666666666,-1.0,3.0,0.1111111111111111,-63.955555555555556,11.944444444444443,16.88888888888889,0.31111111111111,-1.0222222222222221,3.533333333333333,1,0,0,0,0,0,0,0,1,1.0
3098,138,7.0,0.6666666666666666,2.0,1.0,0.32,-49.8,5.859999999999999,6.866666666666667,-7.386666666666667,-1.2133333333333334,3.44,1,0,0,0,0,0,0,0,1,1.0
3099,161,1.0,0.6666666666666666,2.0,0.0,0.0,-82.0,-4.5,-12.583333333333332,-0.9166666666666679,-0.33333333333333326,0.5,1,0,0,0,0,0,0,0,1,0.0
3101,300,8.0,0.5,-1.0,3.0,-0.15789473684210525,-4.187584345479081,9.723346828609989,25.869095816464235,16.0472334682861,0.16734143049932526,4.43859649122807,0,0,1,0,0,0,0,1,1,1.0
3102,26,12.0,0.5,-1.0,3.0,-0.018359853121175024,43.68421052631579,2.2802937576499396,7.243574051407588,13.911872705018359,1.1774785801713585,1.2447980416156668,0,0,1,0,0,0,0,0,1,1.0
3103,147,14.0,0.5,-1.0,0.0,-0.09337860780984719,-10.686757215619693,3.40407470288625,12.217317487266552,5.987266553480476,-0.5059422750424447,3.2020373514431237,0,0,1,0,0,0,0,1,1,0.0
3104,300,3.0,0.5,-2.0,0.0,-0.08892921960072595,-10.315789473684212,0.7277676950998195,4.549909255898367,5.186932849364792,-0.33575317604355703,2.0707803992740472,0,0,1,0,0,0,0,1,1,0.0
3105,300,11.0,0.4444444444444444,-1.0,-1.0,0.024342745861733198,-72.23369036027265,8.655955858487506,29.11976630963973,4.827004219409282,-1.0610191496267445,1.602077247646868,0,0,1,0,0,0,0,1,1,1.0
3106,300,9.0,0.4444444444444444,-2.0,-2.0,0.0603318250377074,-60.4027149321267,1.271493212669684,1.0301659125188536,0.5294117647058805,-0.6244343891402715,0.7209653092006032,0,0,1,0,0,0,0,1,1,1.0
3107,62,10.0,0.4444444444444444,-1.0,-2.0,0.14529914529914528,-54.90598290598291,0.1855921855921867,-1.5702075702075717,-4.952380952380954,-1.4713064713064714,1.1037851037851036,0,0,1,0,0,0,0,0,1,1.0
3108,39,9.0,0.4444444444444444,-1.0,2.0,-0.018099547511312222,-9.990950226244351,-2.444193061840121,-3.156108597285069,-3.401960784313726,-0.29110105580693824,0.47586726998491713,0,0,1,0,0,0,0,0,1,0.0
3109,300,9.0,0.4444444444444444,-1.0,1.0,-0.010256410256410262,-27.06153846153846,3.0038461538461547,5.528205128205126,5.0,-0.6371794871794871,0.24743589743589745,0,1,0,0,0,0,0,1,1,0.0
3110,300,1.0,0.4444444444444444,-2.0,0.0,-0.07692307692307693,82.03846153846153,12.820512820512821,10.96153846153846,6.833333333333332,0.6794871794871795,0.5641025641025641,0,0,1,0,0,0,0,1,1,1.0
3111,300,5.0,0.4444444444444444,1.0,2.0,-0.03525641025641026,-13.878205128205138,-1.846153846153845,-0.9134615384615401,-3.25,-0.4455128205128205,-0.10256410256410264,0,0,1,0,0,0,0,1,1,0.0
3112,300,5.0,0.4444444444444444,-5.0,-3.0,0.013986013986013984,-68.1888111888112,-2.634032634032634,-5.265734265734267,-8.939393939393941,-0.5477855477855478,0.018648018648018683,0,0,1,0,0,0,0,1,1,0.0
3114,300,11.0,0.5,0.0,-3.0,0.0310903841883189,-57.965134354874536,9.975793915167667,28.324894514767937,9.774372640461916,-1.6089273817455028,0.9677992449478126,0,0,1,0,0,0,1,1,1,1.0
3115,300,9.0,0.5,0.0,-1.0,-0.0035087719298245584,-12.79298245614035,4.3236842105263165,4.733333333333334,9.947368421052634,-1.1850877192982454,-0.3868421052631581,0,0,1,0,0,0,0,1,1,0.0
3116,300,6.0,0.5,1.0,-2.0,0.003898635477582846,-21.007797270955173,7.362573099415204,9.88888888888889,11.391812865497077,-1.738791423001949,1.077972709551657,0,0,1,0,0,0,0,1,1,1.0
3117,20,5.0,0.5,2.0,0.0,-0.02850877192982456,0.39035087719297223,-0.5263157894736832,-1.7083333333333321,1.6973684210526336,-0.9934210526315788,-0.7368421052631582,0,0,1,0,0,0,0,1,1,0.0
3118,57,11.0,0.6666666666666666,4.0,5.0,0.0012658227848101195,17.727848101265824,6.535443037974684,20.65822784810127,10.89367088607595,0.459493670886076,0.537974683544304,0,0,1,0,0,0,0,1,0,1.0
3119,289,4.0,0.6666666666666666,2.0,4.0,0.22142857142857145,1.7857142857142865,-1.692857142857143,2.5,6.078571428571427,-0.12142857142857141,-0.5714285714285714,0,0,1,0,0,0,0,1,0,1.0
3120,137,1.0,0.6666666666666666,4.0,6.0,0.11739130434782608,41.47826086956522,5.308695652173913,10.826086956521742,10.095652173913043,0.17826086956521742,-0.34782608695652195,0,0,1,0,0,0,0,0,0,0.0
3121,300,11.0,0.0,2.0,1.0,0.03459915611814346,-63.372151898734174,6.968776371308017,24.45822784810127,6.293670886075951,-1.1738396624472573,-0.4953586497890292,0,0,1,0,0,0,1,1,1,0.0
3122,300,11.0,0.8,0.0,1.0,-0.19040084388185657,-17.85548523206751,5.960443037974684,20.616561181434605,-0.5896624472573819,0.509493670886076,-0.8786919831223625,0,0,1,0,0,0,0,1,1,1.0
3123,217,8.0,0.8,-2.0,-1.0,-0.18297101449275366,25.438405797101446,-1.4402173913043477,-3.0634057971014457,13.851449275362317,0.5543478260869565,-1.0471014492753623,0,0,1,0,0,0,0,0,1,0.0
3124,300,7.0,0.8,1.0,5.0,-0.2916666666666667,54.5452380952381,-0.01785714285714235,8.129761904761907,-2.94047619047619,2.2357142857142858,-2.088095238095238,0,1,0,0,0,0,0,1,1,1.0
3125,231,3.0,0.8,0.0,-1.0,-0.2916666666666667,142.41666666666666,-1.0625,-3.9166666666666643,20.760416666666668,1.90625,-1.3229166666666665,0,0,1,0,1,0,0,0,1,1.0
3126,248,4.0,0.8,-2.0,0.0,0.029761904761904767,-33.79761904761905,-2.2678571428571423,2.4583333333333357,-5.404761904761905,-0.07142857142857142,-1.988095238095238,0,1,0,0,0,0,0,1,1,1.0
3128,300,11.0,0.75,0.0,1.0,0.038765822784810125,-29.897151898734176,10.522943037974684,26.81447784810127,5.24367088607595,-0.146756329113924,1.725474683544304,0,0,1,0,0,0,0,1,1,1.0
3129,300,20.0,0.75,0.0,-2.0,-0.051264044943820225,49.54915730337079,-1.0091292134831455,-6.787570224719101,0.5477528089887649,2.1724016853932584,-0.8742977528089888,0,0,1,0,0,0,0,0,1,1.0
3130,300,5.0,0.75,-5.0,-3.0,-0.012499999999999997,21.275000000000006,-2.7625,-13.04375,-2.3000000000000007,0.89375,-0.0625,0,0,1,0,0,0,0,1,1,1.0
3131,300,1.0,0.75,-1.0,1.0,-0.017045454545454544,-5.125,-3.903409090909091,-13.34375,-2.3863636363636367,0.6846590909090908,-0.6306818181818182,0,0,1,0,0,0,0,1,1,0.0
3132,300,11.0,1.0,3.0,0.0,0.10126582278481013,-44.77215189873418,3.993337774816789,12.237175216522324,2.335776149233844,-0.29313790806129236,0.9853431045969354,0,0,1,0,0,0,0,1,1,1.0
3133,112,9.0,1.0,2.0,-1.0,0.275,-58.075,-8.667105263157897,-25.246052631578944,-12.782894736842106,-0.8526315789473684,-1.5026315789473685,0,0,1,0,0,0,0,0,1,1.0
