,outcome,time,L_f1,W_f1,L_f2,W_f2,fights_f2,height_y,kd,ctrl,sigster_throw,sigster_land,td_land,head_throw,body_throw,leg_throw,clinch_throw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_ww,method_dec_spl,method_dec_una,method_ko_tko,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch
5197,0.0,286,2.0,0.0,0.0,2.0,2.0,72.0,-0.07142857142857142,-75.30357142857143,0.053571428571428825,2.053571428571427,-2.232142857142857,-4.928571428571429,0.8214285714285716,4.160714285714286,2.5714285714285716,0,0,0,1,0,0,0,0,0,1,0,0
5198,1.0,149,3.0,5.0,2.0,0.0,2.0,73.0,0.1935483870967742,35.46774193548387,11.903225806451612,28.096774193548388,-0.4838709677419355,7.67741935483871,2.693548387096774,1.532258064516129,1.8064516129032258,1,0,0,0,0,0,0,0,0,1,0,0
5199,1.0,144,3.0,2.0,2.0,0.0,2.0,73.0,0.21428571428571427,38.857142857142854,17.142857142857142,21.928571428571427,-0.5714285714285714,11.142857142857142,4.142857142857143,1.8571428571428572,1.7142857142857142,0,1,0,0,0,0,0,0,0,0,1,0
5200,1.0,300,3.0,5.0,1.0,0.0,1.0,74.0,0.1935483870967742,4.967741935483872,-0.20788530465949862,9.31899641577061,0.4050179211469534,-0.43369175627240075,0.7491039426523294,-0.5232974910394264,0.5842293906810034,1,0,0,0,0,0,0,1,0,1,0,0
5205,1.0,300,2.0,7.0,1.0,0.0,1.0,69.0,-0.15647226173541962,69.64580369843529,-1.2631578947368425,-7.991465149359886,2.799431009957326,-0.2532005689900432,-0.34992887624466595,-0.6600284495021338,0.4509246088193456,0,0,1,0,0,0,0,1,0,1,0,0
5206,1.0,27,0.0,4.0,1.0,0.0,1.0,65.0,0.38461538461538464,-17.1,12.53076923076923,32.55384615384615,-1.2,9.584615384615383,1.2153846153846155,1.7307692307692308,-0.7153846153846155,0,0,0,0,0,0,0,0,1,1,0,0
5208,1.0,300,1.0,2.0,1.0,0.0,1.0,64.0,0.2,83.0,3.8499999999999996,5.2500000000000036,3.05,4.200000000000001,0.050000000000000266,-0.3999999999999999,0.7999999999999998,0,0,0,0,0,0,0,1,0,1,0,0
5209,1.0,167,4.0,6.0,1.0,0.0,1.0,72.0,-0.2777777777777778,39.05555555555555,17.777777777777775,31.111111111111114,0.9444444444444444,13.25,2.986111111111111,1.5416666666666667,3.75,0,0,0,0,0,1,0,0,1,0,1,0
5210,1.0,277,2.0,5.0,1.0,0.0,1.0,72.0,-0.1111111111111111,41.829861111111114,0.28472222222222143,-5.607638888888889,2.0520833333333335,-2.3194444444444446,1.4027777777777777,1.2013888888888888,0.5729166666666667,0,0,0,1,0,0,0,0,0,1,0,0
5211,1.0,300,6.0,8.0,1.0,2.0,3.0,75.0,0.050980392156862744,-12.84313725490196,-6.058823529411768,-18.788235294117648,-0.2549019607843137,-3.9725490196078415,-1.4274509803921571,-0.658823529411765,-0.3450980392156864,0,0,1,0,0,0,1,0,0,1,0,0
5212,0.0,100,1.0,1.0,1.0,2.0,3.0,75.0,0.04444444444444444,66.11111111111111,-12.777777777777779,-30.644444444444446,1.4444444444444444,-1.155555555555555,-5.688888888888888,-5.933333333333334,-1.3777777777777778,0,0,1,0,0,0,0,0,0,1,0,0
5213,0.0,295,2.0,3.0,1.0,2.0,3.0,75.0,-0.06666666666666667,46.72222222222223,-19.66666666666667,-41.08888888888889,0.9444444444444444,-7.655555555555555,-6.2444444444444445,-5.766666666666667,-0.8777777777777779,0,0,1,0,0,0,0,0,1,1,0,0
5216,0.0,178,6.0,8.0,0.0,3.0,3.0,69.0,0.06501547987616099,-92.72033023735811,21.327141382868938,41.745098039215684,-1.6584107327141384,9.978328173374614,5.372549019607843,5.97626418988648,0.20227038183694535,0,0,1,0,0,0,0,0,0,1,0,0
5217,0.0,300,4.0,1.0,0.0,3.0,3.0,69.0,0.028449502133712667,-71.37268847795164,8.187766714082503,15.162162162162161,-1.6017069701280229,3.359886201991465,4.081081081081081,0.7467994310099573,3.2716927453769564,0,0,0,0,0,1,0,1,0,1,0,0
5218,0.0,107,1.0,0.0,0.0,3.0,3.0,69.0,-0.05263157894736842,13.72697368421052,6.771381578947368,17.25,1.044407894736842,6.809210526315789,-0.28125,0.24342105263157898,1.1661184210526316,0,0,0,0,0,1,0,0,1,1,0,0
5222,1.0,87,2.0,7.0,4.0,1.0,5.0,73.0,0.1737341772151899,-13.302848101265823,-12.660443037974684,-37.483227848101265,-0.559493670886076,-8.554113924050633,-1.6183544303797466,-2.487974683544304,-0.2240506329113925,0,0,0,1,0,0,0,0,1,0,1,0
5223,0.0,300,1.0,2.0,4.0,1.0,5.0,73.0,0.1844484629294756,-12.180229053646777,-6.629093831625479,-30.27727546714889,-0.6960016073940125,-7.2021297970665055,0.40466144263612636,0.1683745228049025,0.028330319469559884,0,0,0,1,0,0,0,1,0,0,1,0
5224,1.0,57,0.0,4.0,4.0,1.0,5.0,73.0,-0.010356731875719213,25.90851553509781,-2.7445339470655945,-22.612773302646723,0.14959723820483306,-4.283659378596088,1.9407364787111625,-0.40161104718066776,-0.7422324510932106,0,0,0,1,0,0,0,0,0,0,1,0
