,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_diff,reach_diff,kd,subatt,rev,ctrl,sigster_throw,sigster_land,total_str_throw,total_str_land,td_throw,td_land,head_throw,body_throw,leg_throw,clinch_throw,ground_throw,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,method_dec_spl,method_dec_una,method_dq,method_ko_tko,method_sub,method_tko_doc,round_x_2,round_x_3,round_x_4,round_x_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
4037,0.0,300,10.0,4.0,0.5,0.5,2.0,3.0,0.041269841269841276,0.05714285714285716,0.1523809523809524,-0.13650793650793958,-1.079365079365079,5.403174603174605,-8.225396825396828,-2.5142857142857125,0.034920634920634935,-0.17777777777777776,0.11746031746031882,-1.4253968253968257,0.22857142857142865,-3.158730158730159,0.025396825396825307,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4038,1.0,77,6.0,4.0,0.5,0.5,-4.0,3.0,0.06349206349206349,-0.25396825396825395,-0.047619047619047616,-3.2698412698412724,-5.912698412698413,-15.507936507936506,-10.547619047619047,-21.21428571428571,0.023809523809523808,-0.11111111111111105,-4.015873015873015,-1.158730158730159,-0.738095238095238,-3.992063492063492,0.32539682539682535,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4039,1.0,300,14.0,3.0,0.3571428571428571,0.6666666666666666,-2.0,-4.0,-0.11172161172161174,0.17948717948717946,0.07142857142857142,-39.54945054945054,1.329670329670332,8.478021978021978,-5.256410256410252,1.8296703296703285,0.5219780219780219,1.1776556776556775,-1.1959706959706953,0.4853479853479854,2.04029304029304,-0.7527472527472527,-3.6630036630036624,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4040,1.0,281,11.0,3.0,0.2727272727272727,0.6666666666666666,0.0,1.0,-0.17813765182186236,0.10931174089068824,0.18421052631578946,-78.35020242914979,-3.5951417004048576,-4.439271255060728,-16.080971659919026,-18.305668016194332,-0.13967611336032382,-0.05668016194331993,-7.313765182186234,0.7510121457489878,2.9676113360323884,-1.643724696356275,-7.036437246963562,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4041,0.0,300,4.0,3.0,1.0,0.6666666666666666,2.0,-2.0,-0.18910256410256412,-0.028846153846153855,0.20833333333333334,-121.40064102564101,-5.467948717948717,20.983974358974358,-15.714743589743588,10.698717948717942,-0.5256410256410257,-1.3461538461538463,-5.993589743589743,-0.16346153846153832,0.6891025641025643,-3.4134615384615383,-8.865384615384615,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4044,1.0,210,5.0,6.0,0.2,0.6666666666666666,-1.0,2.0,0.029090909090909084,0.08,0.12,49.9309090909091,0.9890909090909084,-0.13818181818181685,-10.09090909090909,-11.050909090909094,0.5490909090909091,0.6145454545454545,-0.5854545454545441,-0.792727272727273,2.367272727272727,-2.8436363636363637,2.6363636363636367,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4045,1.0,300,6.0,6.0,0.3333333333333333,0.6666666666666666,-3.0,4.0,-0.09090909090909091,0.41935483870967744,0.0967741935483871,124.54252199413489,-0.8973607038123177,-5.1730205278592365,-3.09090909090909,-7.639296187683286,1.0703812316715544,2.6158357771260996,-2.70674486803519,0.11436950146627556,1.6950146627565983,0.08797653958944274,2.9912023460410557,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4046,1.0,183,7.0,6.0,0.2857142857142857,0.6666666666666666,-4.0,2.0,-0.038277511961722493,0.42105263157894735,0.21052631578947367,3.14354066985646,-2.14354066985646,-4.765550239234447,-8.301435406698563,-10.722488038277511,0.014354066985645925,0.8755980861244019,-2.440191387559808,-0.8516746411483256,1.1483253588516746,-2.047846889952153,0.4258373205741628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4047,1.0,16,3.0,6.0,0.3333333333333333,0.6666666666666666,-3.0,0.0,0.014354066985645925,0.10526315789473684,0.10526315789473684,9.301435406698563,5.330143540669857,8.234449760765553,-3.9330143540669837,-1.5119617224880386,0.4880382775119617,1.0334928229665072,3.507177033492823,0.04306220095693769,1.7799043062200959,-0.6794258373205744,-1.1531100478468899,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4048,0.0,179,2.0,6.0,1.0,0.6666666666666666,-2.0,-1.0,-0.09090909090909091,0.1,0.2,29.890909090909087,5.609090909090908,18.881818181818186,-5.09090909090909,7.809090909090905,0.1090909090909091,1.2545454545454546,-1.6454545454545446,1.9272727272727272,5.327272727272727,0.5363636363636362,-1.2636363636363634,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
