,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_x,reach_x,height_y,reach_y,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,round_2,round_3,round_4,round_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
3450,0.0,300,13.0,7.0,0.15384615384615385,0.42857142857142855,74.0,76.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3451,1.0,85,16.0,7.0,0.4375,0.42857142857142855,75.0,80.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3452,1.0,185,8.0,7.0,0.5,0.42857142857142855,73.0,79.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3453,1.0,300,17.0,7.0,0.5294117647058824,0.42857142857142855,73.0,76.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3454,0.0,300,6.0,7.0,0.3333333333333333,0.42857142857142855,73.0,75.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3455,0.0,300,8.0,7.0,0.375,0.42857142857142855,74.0,78.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3456,1.0,300,3.0,5.0,0.3333333333333333,0.6,74.0,76.0,71.0,73.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
3457,0.0,251,2.0,5.0,1.0,0.6,74.0,74.0,71.0,73.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
3458,1.0,300,6.0,5.0,0.6666666666666666,0.6,67.0,72.0,71.0,73.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
3459,1.0,300,9.0,5.0,0.2222222222222222,0.6,74.0,76.0,71.0,73.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3460,0.0,42,8.0,5.0,0.625,0.6,71.0,74.0,71.0,73.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3461,0.0,300,7.0,5.0,0.5714285714285714,0.0,69.0,77.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3462,0.0,300,8.0,5.0,0.375,0.0,71.0,74.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3463,0.0,214,15.0,5.0,0.4666666666666667,0.0,70.0,71.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3464,0.0,99,16.0,5.0,0.5625,0.0,68.0,69.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3465,0.0,300,2.0,5.0,1.0,0.0,70.0,73.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3466,1.0,300,10.0,8.0,0.3,0.375,68.0,71.0,66.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3467,0.0,300,17.0,8.0,0.17647058823529413,0.375,64.0,65.0,66.0,69.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3468,1.0,300,4.0,8.0,0.0,0.375,64.0,64.0,66.0,69.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3469,0.0,300,9.0,8.0,0.3333333333333333,0.375,66.0,66.0,66.0,69.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3470,0.0,300,7.0,8.0,0.42857142857142855,0.375,63.0,64.0,66.0,69.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3471,0.0,300,1.0,8.0,1.0,0.375,69.0,71.0,66.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3472,1.0,279,18.0,8.0,0.2777777777777778,0.375,70.0,73.0,66.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3473,0.0,300,4.0,8.0,1.0,0.375,69.0,70.0,66.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3474,1.0,300,6.0,4.0,0.16666666666666666,0.75,68.0,73.0,67.0,70.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3475,1.0,300,4.0,4.0,0.0,0.75,73.0,73.0,67.0,70.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3476,0.0,300,6.0,4.0,0.5,0.75,67.0,70.0,67.0,70.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3477,1.0,300,7.0,4.0,0.2857142857142857,0.75,69.0,69.0,67.0,70.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3478,1.0,300,5.0,5.0,0.6,0.6,66.0,64.0,67.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3479,1.0,110,17.0,5.0,0.29411764705882354,0.6,65.0,66.0,67.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3480,0.0,177,3.0,5.0,0.6666666666666666,0.6,67.0,71.0,67.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3481,0.0,300,6.0,5.0,0.3333333333333333,0.6,65.0,65.0,67.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3482,1.0,259,14.0,5.0,0.2857142857142857,0.6,66.0,67.0,67.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3483,1.0,43,17.0,4.0,0.5294117647058824,0.75,73.0,76.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3484,1.0,174,16.0,4.0,0.4375,0.75,75.0,80.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3485,1.0,300,8.0,4.0,0.375,0.75,70.0,73.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3486,0.0,247,6.0,4.0,0.5,0.75,73.0,76.0,75.0,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
