,first,last,nickname,fighter_id
76,Leon,Aliu,The Albanian Lion,6db394bf6c3b017c
77,John,Allan,,6ebe96a116e79e52
78,George,Allen,,1e13936d708bcff7
79,Arnold,Allen,Almighty,040a74bb0a465c54
80,Brendan,Allen,All In,2f181c0467965b98
81,Daniel,Allen,,adf9a901308fb8e3
82,Ben,Alloway,Blanco,c4fe2e9a06ea5bcb
83,Assu,Almabayev,Zulfikar,8d3273573b85be09
84,Bekzat,Almakhan,,a4dc0f2b95df4cc1
85,Ricardo,Almeida,Big Dog,91186547a7f3f758
86,Magno,Almeida,,d615d6a10a4704cd
87,Thomas,Almeida,Thominhas,2b074403b7c6cdb4
88,Ericka,Almeida,,67a992d4cff22466
89,Estefani,Almeida,,f16ddfa31236efed
90,Jailton,Almeida,Malhadinho,41e83a89929d1327
91,Lucas,Almeida,,710f0f8c5d5c9d41
92,Cesar,Almeida,Cesinha,64d47ef881a437a4
93,Mauricio,Alonso,,c6bf75775b278ed8
94,Sarah,Alpar,Too Sweet,49b130de1da2e1bf
95,Ali,AlQaisi,The Royal Fighter,e87a13e02c01331d
96,Rico,Altamirano,,c61b49cec6abd6b9
97,Victor,Altamirano,El Magnifico,dc7927cd622676a7
98,Mike,Altman,,c11036da9162cb5f
99,Patricia,Alujas,The Angel,430c533614d45813
100,Sean,Alvarez,,e741536153227386
101,Eddie,Alvarez,,33a331684283900f
102,Jaime,Alvarez,,4438482bd1d5a029
103,Joel,Alvarez,El Fenomeno,58bbef3770bb2dfc
104,Thiago,Alves,Pitbull,31ee470ef5dc8d7f
105,Anthony,Alves,,bd92cf5da5413d2a
106,Amilcar,Alves,,dc5a6b2fdb27e7dc
107,Warlley,Alves,,d317a5e2b3f88c5f
108,Rafael,Alves,The Turn,029afd138865d20a
109,Sam,Alvey,Smile'N,d156513a19acf856
110,Andre,Amado,Dida,20821819c401ced8
111,Adlan,Amagov,Borz,1e327b281ef6a745
112,Maiara,Amanajas dos Santos,,247fbbfafea60bb1
113,Rayanne,Amanda,,02bb48869eb7ac8f
114,Chris,Amarante,,ee0b69e307c857e5
115,Jimmy,Ambriz,The Titan,c912f676692c353a
116,JJ,Ambrose,,d562b12b8fe88336
117,Alen,Amedovski,,70fa1c64a2c439ef
118,Hyder,Amil,The Hurricane,41cc71cbf210e0fe
119,Makwan,Amirkhani,Mr. Finland,87a1dc546b1c5caf
120,Jaqueline,Amorim,,bc7d1ad49fcb2d08
121,Bertrand,Amoussou,,53adf5b845d91e4a
122,Karl,Amoussou,The Psycho,23a8c33869bf5392
123,Eryk,Anders,Ya Boi,cad24459b28592ca
124,Matt,Andersen,,8738eacd62e82a32
125,Andy,Anderson,The Hammer,9199e0735b83dd32
126,Lowell,Anderson,,1ffc38f67785797b
127,Corey,Anderson,Overtime,5e4eec08896c9423
128,Derek,Anderson,Barbaric,19ba965651486013
129,Megan,Anderson,,a0e75f4a13eb73f1
