fighter,W,L,fights
Daniel Kelly,2,2,4
Daniel Lacerda,1,0,1
Daniel Marcos,0,2,2
Daniel Omielanczuk,2,2,4
Daniel Pineda,5,3,8
Daniel Roberts,2,2,4
Daniel Rodriguez,1,3,4
Daniel Santos,1,0,1
Daniel Sarafian,1,0,1
Daniel Spitz,2,1,3
Daniel Spohn,1,0,1
Daniel Teymur,3,0,3
Daniel Zellhuber,1,1,2
Danielle Taylor,1,2,3
Danilo Belluardo,2,0,2
Danilo Marques,2,2,4
Danny Castillo,5,3,8
Danny Chavez,2,1,3
Danny Downes,1,0,1
Danny Henry,1,0,1
Danny Martinez,2,1,3
Danny Mitchell,2,0,2
Danny Roberts,3,1,4
Darian Weeks,2,0,2
Darko Stosic,1,1,2
Daron Cruickshank,3,2,5
Darrell Horcher,2,1,3
Darrell Montague,2,0,2
Darren Elkins,3,7,10
Darren Stewart,4,5,9
Darren Till,2,4,6
Darren Uyenoyama,1,1,2
Darrick Minner,3,1,4
Darrius Flowers,1,0,1
Dashon Johnson,2,0,2
Dave Galera,1,0,1
Dave Herman,4,0,4
Davey Grant,1,4,5
Davi Ramos,2,1,3
David Branch,2,3,5
David Dvorak,1,2,3
David Michaud,1,0,1
David Mitchell,4,1,5
David Onama,2,1,3
David Teymur,1,2,3
David Zawada,3,1,4
Deiveson Figueiredo,1,5,6
Demetrious Johnson,0,2,2
Demian Maia,2,3,5
Denis Tiuliulin,4,0,4
Denise Gomes,1,2,3
Dennis Bermudez,1,1,2
Dennis Buzukja,1,0,1
Dennis Hallman,0,3,3
Dennis Siver,3,3,6
Denys Bondar,2,0,2
Dequan Townsend,3,0,3
Derek Brunson,5,4,9
Deron Winn,2,0,2
Derrick Krantz,2,0,2
Derrick Lewis,3,3,6
Desmond Green,3,2,5
Devin Clark,5,4,9
Dhiego Lima,3,3,6
Diana Belbita,3,0,3
Diego Brandao,2,1,3
Diego Ferreira,1,7,8
Diego Lopes,1,0,1
Diego Nunes,2,3,5
Diego Rivas,1,1,2
Diego Sanchez,4,1,5
Dileno Lopes,1,0,1
Dmitrii Smoliakov,2,0,2
Dmitry Sosnovskiy,0,1,1
Domingo Pilarte,1,0,1
Dominic Waters,3,0,3
Dominick Cruz,1,1,2
Dominick Reyes,0,5,5
Dominique Steele,4,0,4
Don Madge,0,1,1
Don Shainis,2,0,2
Don'Tale Mayes,4,1,5
Donald Cerrone,7,5,12
Dong Hyun Kim,2,3,5
Dong Hyun Ma,4,2,6
Dongi Yang,3,1,4
Donny Walker,2,0,2
Dooho Choi,2,1,3
Douglas Silva de Andrade,2,1,3
Drakkar Klose,2,5,7
Drako Rodriguez,2,0,2
Drew Dober,7,4,11
Dricus Du Plessis,0,6,6
Duane Ludwig,3,1,4
Duda Santana,1,0,1
Dusko Todorovic,3,3,6
Dustin Hazelett,2,0,2
Dustin Jacoby,2,0,2
Dustin Kimura,3,1,4
Dustin Neace,1,0,1
Dustin Ortiz,4,3,7
Dustin Pague,2,0,2
Dustin Poirier,2,2,4
Dustin Stoltzfus,3,2,5
Dwight Grant,3,1,4
Ed Herman,4,3,7
Eddie Alvarez,1,2,3
Eddie Gordon,1,0,1
Eddie Mendez,1,0,1
Eddie Wineland,3,2,5
Eddie Yagin,1,1,2
Edgar Garcia,1,0,1
Edimilson Souza,0,1,1
Edmen Shahbazyan,2,2,4
Ednaldo Oliveira,1,0,1
Edson Barboza,3,7,10
Eduardo Garagorri,2,0,2
Edward Faaloloto,2,0,2
Edwin Figueroa,3,1,4
Efrain Escudero,4,0,4
Eiji Mitsuoka,2,0,2
Elias Garcia,1,0,1
Elias Silverio,1,2,3
Elias Theodorou,2,0,2
Eliot Marshall,2,0,2
Elise Reed,3,2,5
Elizabeth Phillips,2,1,3
Elizeu Zaleski dos Santos,1,3,4
Elves Brener,0,2,2
Elvis Mutapcic,1,0,1
Emil Meek,2,1,3
Emily Ducote,1,2,3
Emily Kagan,1,0,1
Emily Whitmire,2,2,4
Enrique Barzola,0,2,2
Enrique Marin,1,0,1
Eric Schafer,2,0,2
Eric Shelton,1,2,3
Eric Spicely,2,1,3
Eric Wisely,2,0,2
Erick Gonzalez,2,0,2
Erick Silva,4,0,4
Ericka Almeida,2,0,2
Erik Koch,1,2,3
Erik Perez,1,3,4
Erik Silva,1,0,1
Erin Blanchfield,0,2,2
Ernest Chavez,2,0,2
Eryk Anders,5,1,6
Esteban Ribovics,0,1,1
Estevan Payan,2,0,2
Evan Dunham,7,4,11
Evan Elder,2,0,2
Fabio Cherant,3,0,3
Fabio Maldonado,3,1,4
Fabricio Camoes,3,0,3
Fabricio Werdum,1,2,3
Fares Ziam,2,2,4
Farid Basharat,0,1,1
Felice Herrig,2,1,3
Felipe Arantes,2,2,4
Felipe Bunes,1,0,1
Felipe Colares,4,2,6
Felipe Olivieri,1,0,1
Felipe Silva,2,1,3
Felipe dos Santos,1,0,1
Fer0do Bruno,1,0,1
Fer0do Padilla,0,1,1
Fernie Garcia,2,0,2
Forrest Griffin,1,0,1
Forrest Petz,1,0,1
Francimar Barroso,2,2,4
Francis Carmont,1,3,4
Francis Marshall,0,1,1
Francis Ngannou,0,3,3
Francisco Figueiredo,1,1,2
